STCode,DTCode,SDCode,TownVillgCode,TownVillgName
3,000,00000,000000,PUNJAB
3,035,00000,000000,Gurdaspur
3,035,00200,000000,Dhar Kalan
3,035,00200,027374,Darbahn (406)
3,035,00200,027375,Darkua Bangla (405)
3,035,00200,027376,Sarti(404)
3,035,00200,027377,Dukhan Iyali (407) 
3,035,00200,027378,Ghar (408)
3,035,00200,027379,Barsudhal (409)
3,035,00200,027380,Dunera (418)
3,035,00200,027381,Bhamlada (410) 
3,035,00200,027382,Nalloh (411)
3,035,00200,027383,Phangota (403)
3,035,00200,027384,Dhar Khurd (412)
3,035,00200,027385,Faugli Mawa (413)
3,035,00200,027386,Lanjera (417)
3,035,00200,027387,Lohrun (Lehroon) (419) 
3,035,00200,027388,Bakhatpur (420)
3,035,00200,027389,Rohg (416)
3,035,00200,027390,Bhanguri (415)
3,035,00200,027391,Jalahar (414)
3,035,00200,027392,Dhar Kalan (400)
3,035,00200,027393,Hardo Saran (401)
3,035,00200,027394,Chamrour (402)
3,035,00200,027395,Thara Uparla (399/2)
3,035,00200,027396,Thara Jhikla (399/1)
3,035,00200,027397,Narianpur (395)
3,035,00200,027398,Hara (394)
3,035,00200,027399,Tarhari (396)
3,035,00200,027400,Tureti (397)
3,035,00200,027401,Kot (CT)
3,035,00201,000000,Pathankot       
3,035,00201,027402,Rajpura(366)
3,035,00201,027403,Barkola (365)
3,035,00201,027404,Harur (364)
3,035,00201,027405,Kamwal (363)
3,035,00201,027406,Khala (362)
3,035,00201,027407,Sadhauri (361)
3,035,00201,027408,Madhopur  (358)
3,035,00201,027409,Madhopur Chhauni (359)
3,035,00201,027410,Gurah Khurd (360)
3,035,00201,027411,Ranipur (356)
3,035,00201,027412,Mutfaroa (355)
3,035,00201,027413,Jhanjeli (354)
3,035,00201,027414,Dadwan (370)
3,035,00201,027415,Baroi (369)
3,035,00201,027416,Jindrai (368)
3,035,00201,027417,Jungath (371)
3,035,00201,027418,Nagrota (372)
3,035,00201,027419,Kother (375)
3,035,00201,027420,Karoli (374)
3,035,00201,027421,Gagroli  (373)
3,035,00201,027422,Turehti (393)
3,035,00201,027423,Haryal   (392)
3,035,00201,027424,Baghar (391)
3,035,00201,027425,Jandwal (383)
3,035,00201,027426,Tahra (382)
3,035,00201,027427,Chatwal (381)
3,035,00201,027428,Barsun (380)
3,035,00201,027429,Sangher (379)
3,035,00201,027430,Jharoli (387)
3,035,00201,027431,Halahar (386)
3,035,00201,027432,Kalarwan (384)
3,035,00201,027433,Jakral (385)
3,035,00201,027434,Athotarwan  (389)
3,035,00201,027435,Bhortarwan (388)
3,035,00201,027436,Phadial (377)
3,035,00201,027437,Siyonti (376)
3,035,00201,027438,Lamin (342) (Part)
3,035,00201,027439,Kairi (350)
3,035,00201,027440,Phangoli (351)
3,035,00201,027441,Chak Madho Singh (344)
3,035,00201,027442,Kingarian (337)
3,035,00201,027443,Gosainpur (345)
3,035,00201,027444,Kahanpur (349)
3,035,00201,027445,Paddian Lahri (346)
3,035,00201,027446,Chhotepur (347)
3,035,00201,027447,Gandran Lahri (348)
3,035,00201,027448,Nihalpur (353)
3,035,00201,027449,Bhanwal (227)
3,035,00201,027450,Bheri Bazurg (217)
3,035,00201,027451,Mirzapur (219)
3,035,00201,027452,Chhan (221)
3,035,00201,027453,Attapur (222)
3,035,00201,027454,Hajipur (220)
3,035,00201,027455,Ferozepur Kalan (224)
3,035,00201,027456,Bhol Chak (223)
3,035,00201,027457,Khadawar (225)
3,035,00201,027458,Azizpur Kalan (226)
3,035,00201,027459,Bhajurah (234)
3,035,00201,027460,Islampur (237)
3,035,00201,027461,Jhakhian Lahri (236)
3,035,00201,027462,Bahadar Lahri (239)
3,035,00201,027463,Bharoli Khurd (242)
3,035,00201,027464,Bharoli Kalan (243)
3,035,00201,027465,Dadwal (238)
3,035,00201,027466,Asa Bano (205)
3,035,00201,027467,Itti (233)
3,035,00201,027468,Sujanpur ( Rural ) (229)
3,035,00201,027469,Phool Piara (212)
3,035,00201,027470,Phaloura (213)
3,035,00201,027471,Shahar (218)
3,035,00201,027472,Bhadrali (216)
3,035,00201,027473,Basroop (215)
3,035,00201,027474,Jhandpur (210)
3,035,00201,027475,Lahri Samanchan (214)
3,035,00201,027476,Sherpur (208)
3,035,00201,027477,Kalesar (211)
3,035,00201,027478,Panjor (206)
3,035,00201,027479,Aima Mughlan (207)
3,035,00201,027480,Gatora (204)
3,035,00201,027481,Muradpur (203)
3,035,00201,027482,Bahlolpur (241)
3,035,00201,027483,Jamalpur (245)
3,035,00201,027484,Deriwala (246)
3,035,00201,027485,Lado Chak (329)
3,035,00201,027486,Sailli (332)
3,035,00201,027487,Aima Chahngan (324)
3,035,00201,027488,Darsopur (325)
3,035,00201,027489,Tajpur (328)
3,035,00201,027490,Beli Akalian (326)
3,035,00201,027491,Maira Mahantan (327)
3,035,00201,027492,Naushenra Nalbandan (319)
3,035,00201,027493,Lahri (318)
